A3,1.0.0,Accurate, Adaptable, and Accessible Error Metrics for Predictive Models
adagio,0.6.5,Discrete and Global Optimization Routines 
AdapEnetClass,1.2,A Class of Adaptive Elastic Net Methods for Censored Data 
adapr,1.0.2,Implementation of an Accountable Data Analysis Process 
adaptDA,1.0,Adaptive Mixture Discriminant Analysis 
AdaptFit,0.2-2,Adaptive Semiparametic Regression 
AdaptFitOS,0.62,Adaptive Semiparametric Regression with Simultaneous Confidence Bands
AdaptGauss,1.3.3,Gaussian Mixture Models (GMM) 
adaptiveGPCA,0.1,Adaptive Generalized PCA 
AdaptiveSparsity,1.4,Adaptive Sparsity Models 
adaptivetau,2.2-1,Tau-Leaping Stochastic Simulation 
adaptMCMC,1.1,Implementation of a generic adaptive Monte Carlo Markov Chain sampler
adaptsmoFMRI,1.1,Adaptive Smoothing of FMRI Data 
adaptTest,1.0,Adaptive two-stage tests 
ADCT,0.1.0,Adaptive Design in Clinical Trials 
addhaz,0.4,Binomial and Multinomial Additive Hazards Models 
addhazard,1.1.0,Fit Additive Hazards Models for Survival Analysis 
addinslist,0.2,Discover and Install Useful RStudio Addins 
additivityTests,1.1-4,Additivity Tests in the Two Way Anova with Single Sub-class Numbers
addreg,2.0,Additive Regression for Discrete Data 
ADDT,2.0,Analysis of Accelerated Destructive Degradation Test Data 
ade4,1.7-6,Analysis of Ecological Data : Exploratory and Euclidean Methods in Environmental Sciences
ade4TkGUI,0.2-9,'ade4' Tcl/Tk Graphical User Interface 
adegenet,2.0.1,Exploratory Analysis of Genetic and Genomic Data 
adegraphics,1.0-8,An S4 Lattice-Based Package for the Representation of Multivariate Data
adehabitat,1.8.18,Analysis of Habitat Selection by Animals 
adehabitatHR,0.4.14,Home Range Estimation 
adehabitatHS,0.3.12,Analysis of Habitat Selection by Animals 
adehabitatLT,0.3.21,Analysis of Animal Movements 
adehabitatMA,0.3.11,Tools to Deal with Raster Maps 
adephylo,1.1-10,Adephylo: Exploratory Analyses for the Phylogenetic Comparative Method
AdequacyModel,2.0.0,Adequacy of Probabilistic Models and General Purpose Optimization
adespatial,0.0-8,Multivariate Multiscale Spatial Analysis 
ADGofTest,0.3,Anderson-Darling GoF test 
AdhereR,0.1.0,Adherence to Medications 
adhoc,1.1,Calculate Ad Hoc Distance Thresholds for DNA Barcoding Identification
adimpro,0.8.2,Adaptive Smoothing of Digital Images 
AdjBQR,1.0,Adjusted Bayesian Quantile Regression Inference 
adlift,1.3-2,An adaptive lifting scheme algorithm 
ADM3,1.3,An Interpretation of the ADM method - automated detection algorithm
AdMit,2.1.3,Adaptive Mixture of Student-t Distributions 
admixturegraph,1.0.2,Admixture Graph Manipulation and Fitting 
ADMMnet,0.1,Regularized Model with Selecting the Number of Non-Zeros 
ADPclust,0.7,Fast Clustering Using Adaptive Density Peak Detection 
ads,1.5-2.2,Spatial point patterns analysis 
AdvBinomApps,1.0,Upper Clopper-Pearson Confidence Limits for Burn-in Studies under Additional Available Information
advclust,0.4,Object Oriented Advanced Clustering 
adwave,1.1,Wavelet Analysis of Genomic Data from Admixed Populations 
AEDForecasting,0.20.0,Change Point Analysis in ARIMA Forecasting 
aemo,0.2.0,Download and Process AEMO Price and Demand Data 
AER,1.2-5,Applied Econometrics with R 
AF,0.1.4,Model-Based Estimation of Confounder-Adjusted Attributable Fractions
afc,1.4.0,Generalized Discrimination Score 
afex,0.18-0,Analysis of Factorial Experiments 
affluenceIndex,1.0,Affluence Indices 
AFLPsim,0.4-2,Hybrid Simulation and Genome Scan for Dominant Markers 
AFM,1.2.2,Atomic Force Microscope Image Analysis 
afmToolkit,0.0.1,Functions for Atomic Force Microscope Force-Distance Curves Analysis
aftgee,1.0-0,Accelerated Failure Time Model with Generalized Estimating Equations
AGD,0.35,Analysis of Growth Data 
AggregateR,0.0.2,Aggregate Numeric, Date and Categorical Variables by an ID 
agop,0.1-4,Aggregation Operators and Preordered Sets 
agRee,0.5-0,Various Methods for Measuring Agreement 
Agreement,0.8-1,Statistical Tools for Measuring Agreement 
agricolae,1.2-4,Statistical Procedures for Agricultural Research 
agridat,1.12,Agricultural Datasets 
agrmt,1.40.4,Calculate Agreement or Consensus in Ordered Rating Scales 
AGSDest,2.3.1,Estimation in Adaptive Group Sequential Trials 
agsemisc,1.3-1,Miscellaneous plotting and utility functions 
ahaz,1.14,Regularization for semiparametric additive hazards regression 
AHMbook,0.1.4,Functions and Data for the Book 'Applied Hierarchical Modeling in Ecology'
AhoCorasickTrie,0.1.0,Fast Searching for Multiple Keywords in Multiple Texts 
ahp,0.2.11,Analytic Hierarchy Process 
AHR,1.4.2,Estimation and Testing of Average Hazard Ratios 
AICcmodavg,2.1-0,Model Selection and Multimodel Inference Based on (Q)AIC(c) 
AID,2.0,Box-Cox Power Transformation 
aidar,1.0.0,Tools for reading AIDA (http://aida.freehep.org/) files into R 
AIG,0.1.5,Automatic Item Generator 
AIM,1.01,AIM: adaptive index model 
aimPlot,1.0.0,Create Pie Like Plot for Completeness 
airGR,1.0.5.12,Suite of GR Hydrological Models for Precipitation-Runoff Modelling
ajv,1.0.0,Another JSON Schema Validator 
Ake,1.0,Associated Kernel Estimations 
akima,0.6-2,Interpolation of Irregularly and Regularly Spaced Data 
akmeans,1.1,Adaptive Kmeans algorithm based on threshold 
ALA4R,1.5.6,Atlas of Living Australia (ALA) Data and Resources in R 
alabama,2015.3-1,Constrained Nonlinear Optimization 
alakazam,0.2.6,Immunoglobulin Clonal Lineage and Diversity Analysis 
ald,1.1,The Asymmetric Laplace Distribution 
ALDqr,1.0,Quantile Regression Using Asymmetric Laplace Distribution 
aLFQ,1.3.4,Estimating Absolute Protein Quantities from Label-Free LC-MS/MS Proteomics Data
AlgDesign,1.1-7.3,Algorithmic Experimental Design 
AlgebraicHaploPackage,1.2,Haplotype Two Snips Out of a Paired Group of Patients 
algorithmia,0.0.2,Allows you to Easily Interact with the Algorithmia Platform 
algstat,0.0.2,Algebraic statistics in R 
AlignStat,1.3.1,Comparison of Alternative Multiple Sequence Alignments 
alineR,1.1.3,Alignment of Phonetic Sequences Using the 'ALINE' Algorithm 
ALKr,0.5.3.1,Generate Age-Length Keys for fish populations 
allan,1.01,Automated Large Linear Analysis Node 
allanvar,1.1,Allan Variance Analysis 
alleHap,0.9.7,Allele Imputation and Haplotype Reconstruction from Pedigree Databases
allelematch,2.5,Identifying unique multilocus genotypes where genotyping error and missing data may be present
AlleleRetain,1.3.1,Allele Retention, Inbreeding, and Demography 
allelic,0.1,A fast, unbiased and exact allelic exact test 
AllPossibleSpellings,1.1,Computes all of a word's possible spellings 
alluvial,0.1-2,Alluvial Diagrams 
alphabetr,0.2.2,Algorithms for High-Throughput Sequencing of Antigen-Specific T Cells
alphahull,2.1,Generalization of the Convex Hull of a Sample of Points in the Plane
alphaOutlier,1.2.0,Obtain Alpha-Outlier Regions for Well-Known Probability Distributions
alphashape3d,1.2,Implementation of the 3D Alpha-Shape for the Reconstruction of 3D Sets from a Point Cloud
alr3,2.0.5,Data to accompany Applied Linear Regression 3rd edition 
alr4,1.0.5,Data to accompany Applied Linear Regression 4rd edition 
ALS,0.0.6,Multivariate Curve Resolution Alternating Least Squares (MCR-ALS)
ALSCPC,1.0,Accelerated line search algorithm for simultaneous orthogonal transformation of several positive definite symmetric matrices
ALSM,0.2.0,Companion to Applied Linear Statistical Models 
alterryx,0.2.0,An 'API' Client for the 'Alteryx' Gallery 
altmeta,2.2,Alternative Meta-Analysis Methods 
ALTopt,0.1.1,Optimal Experimental Designs for Accelerated Life Testing 
amap,0.8-14,Another Multidimensional Analysis Package 
AMAP.Seq,1.0,Compare Gene Expressions from 2-Treatment RNA-Seq Experiments 
AMCP,0.0.4,A Model Comparison Perspective 
AMCTestmakeR,0.1.0,Generate LaTeX Code for Auto-Multiple-Choice (AMC) 
ameco,0.2.7,European Commission Annual Macro-Economic (AMECO) Database 
amei,1.0-7,Adaptive Management of Epidemiological Interventions 
Amelia,1.7.4,A Program for Missing Data 
amen,1.3,Additive and Multiplicative Effects Models for Networks and Relational Data
AmericanCallOpt,0.95,This package includes pricing function for selected American call options with underlying assets that generate payouts
AMGET,1.0,Post-processing tool for ADAPT 5 
aml,0.1-1,Adaptive Mixed LASSO 
AMModels,0.1.2,Adaptive Management Model Manager 
AmmoniaConcentration,0.1,Un-Ionized Ammonia Concentration 
AMOEBA,1.1,A Multidirectional Optimum Ecotope-Based Algorithm 
AMORE,0.2-15,A MORE flexible neural network package 
AmostraBrasil,1.2,Generates Samples or Complete List of Brazilian IBGE (Instituto Brasileiro De Geografia e Estatistica) Census Households,
ampd,0.2,An Algorithm for Automatic Peak Detection in Noisy Periodic and Quasi-Periodic Signals
AmpliconDuo,1.1,Statistical Analysis of Amplicon Data of the Same Sample to Identify Artefacts
AmyloGram,1.0,Prediction of Amyloid Proteins 
anacor,1.1-3,Simple and Canonical Correspondence Analysis 
analogsea,0.5.0,Interface to 'Digital Ocean' 
analogue,0.17-0,Analogue and Weighted Averaging Methods for Palaeoecology 
analogueExtra,0.1-1,Additional Functions for Use with the Analogue Package 
analytics,1.0,Regression Outlier Detection and Other Tools for Data Analysis 
analyz,1.4,Model Layer for Automatic Data Analysis via CSV File Interpretation
AnalyzeFMRI,1.1-16,Functions for analysis of fMRI datasets stored in the ANALYZE or NIFTI format
AnalyzeTS,2.2,Analyze Fuzzy Time Series 
anapuce,2.2,Tools for microarray data analysis 
AncestryMapper,2.0,Assigning Ancestry Based on Population References 
anchors,3.0-8,Statistical analysis of surveys with anchoring vignettes 
AnDE,1.0,An extended Bayesian Learning Technique developed by Dr. Geoff Webb
andrews,1.0,Andrews curves 
anesrake,0.75,ANES Raking Implementation 
anfis,0.99.1,Adaptive Neuro Fuzzy Inference System in R 
AnglerCreelSurveySimulation,0.2.1,Simulate a Bus Route Creel Survey of Anglers 
angstroms,0.0.1,Tools for 'ROMS' the Regional Ocean Modeling System 
aniDom,0.1.1,Inferring Dominance Hierarchies and Estimating Uncertainty 
anim.plots,0.2,Simple Animated Plots for R 
animalTrack,1.0.0,Animal track reconstruction for high frequency 2-dimensional (2D) or 3-dimensional (3D) movement data
animation,2.5,A Gallery of Animations in Statistics and Utilities to Create Animations
ANLP,1.3,Build Text Prediction Model 
anMC,0.1.0,Compute High Dimensional Orthant Probabilities 
AnnotationBustR,1.0,Extract Subsequences from GenBank Annotations 
AnnotLists,1.2,AnnotLists: A tool to annotate multiple lists from a specific annotation file
anocva,0.1.0,A Non-Parametric Statistical Test to Compare Clustering Structures
anoint,1.4,Analysis of Interactions 
ANOM,0.5,Analysis of Means 
anomalyDetection,0.1.1,Implementation of Augmented Network Log Anomaly Detection Procedures
anominate,0.5,alpha-NOMINATE Ideal Point Estimator 
anonymizer,0.2.0,Anonymize Data Containing Personally Identifiable Information 
ANOVAreplication,1.0.0,Test ANOVA Replications by Means of the Prior Predictive p-Value 
AntAngioCOOL,1.2,Anti-Angiogenic Peptide Prediction 
antaresProcessing,0.10.2,Antares Results Processing 
antaresRead,1.1.2,Import, Manipulate and Explore the Results of an Antares Simulation
antaresViz,0.8,Antares Visualizations 
AnthropMMD,1.0.1,A GUI for Mean Measures of Divergence 
Anthropometry,1.8,Statistical Methods for Anthropometric Data 
antitrust,0.95.1,Tools for Antitrust Practitioners 
antiword,1.1,Extract Text from Microsoft Word Documents 
AntWeb,0.7,programmatic interface to the AntWeb 
anytime,0.2.2,Anything to 'POSIXct' or 'Date' Converter 
aod,1.3,Analysis of Overdispersed Data 
aods3,0.4-1,Analysis of Overdispersed Data using S3 methods 
aoos,0.5.0,Another Object Orientation System 
aop,1.0.0,Adverse Outcome Pathway Analysis 
aoristic,0.6,aoristic analysis with spatial output (kml) 
apa,0.2.0,Format Outputs of Statistical Tests According to APA Guidelines 
ApacheLogProcessor,0.2.2,Process the Apache Web Server Log Files 
apaStyle,0.5,Generate APA Tables for MS Word 
apaTables,1.5.0,Create American Psychological Association (APA) Style Tables 
apc,1.3,Age-Period-Cohort Analysis 
apcluster,1.4.3,Affinity Propagation Clustering 
apdesign,1.0.0,An Implementation of the Additive Polynomial Design Matrix 
ape,4.1,Analyses of Phylogenetics and Evolution 
apercu,0.2.1,Apercu is Giving you a Quick Look at your Data 
apex,1.0.2,Phylogenetic Methods for Multiple Gene Data 
APfun,0.1.1,Geo-Processing Base Functions 
aplore3,0.9,Datasets from Hosmer, Lemeshow and Sturdivant, "Applied Logistic Regression" (3rd Ed., 2013)
aplpack,1.3.0,Another Plot PACKage: stem.leaf, bagplot, faces, spin3R, plotsummary, plothulls, and some slider functions
apmsWAPP,1.0,Pre- and Postprocessing for AP-MS data analysis based on spectral counts
apng,1.0,Convert Png Files into Animated Png 
appell,0.0-4,Compute Appell's F1 hypergeometric function 
apple,0.3,Approximate Path for Penalized Likelihood Estimators 
AppliedPredictiveModeling,1.1-6,Functions and Data Sets for 'Applied Predictive Modeling' 
appnn,1.0-0,Amyloid Propensity Prediction Neural Network 
approximator,1.2-6,Bayesian prediction of complex computer codes 
aprean3,1.0.1,Datasets from Draper and Smith "Applied Regression Analysis" (3rd Ed., 1998)
apricom,1.0.0,Tools for the a Priori Comparison of Regression Modelling Strategies
aprof,0.3.2,Amdahl's Profiler, Directed Optimization Made Easy 
APSIM,0.9.1,General Utility Functions for the 'Agricultural Production Systems Simulator'
APSIMBatch,0.1.0.2374,Analysis the output of Apsim software 
apsimr,1.2,Edit, Run and Evaluate APSIM Simulations Easily Using R 
apsrtable,0.8-8,apsrtable model-output formatter for social science 
apt,2.5,Asymmetric Price Transmission 
aptg,0.1.0,Automatic Phylogenetic Tree Generator 
APtools,3.0,Average Positive Predictive Values (AP) for Binary Outcomes and Censored Event Times
apTreeshape,1.4-5,Analyses of Phylogenetic Treeshape 
aqfig,0.8,Functions to help display air quality model output and monitoring data
aqp,1.10,Algorithms for Quantitative Pedology 
aqr,0.4,Interface methods to use with an ActiveQuant Master Server 
AquaEnv,1.0-4,Integrated Development Toolbox for Aquatic Chemical Model Generation
AR,1.0,Another Look at the Acceptance-Rejection Method 
AR1seg,1.0,Segmentation of an autoregressive Gaussian process of order 1 
arabicStemR,1.2,Arabic Stemmer for Text Analysis 
ArArRedux,0.2,Rigorous Data Reduction and Error Propagation of Ar40 / Ar39 Data
arc,1.1,Association Rule Classification 
ARCensReg,2.1,Fitting Univariate Censored Linear Regression Model with Autoregressive Errors
ArchaeoPhases,1.1,Post-Processing of the Markov Chain Simulated by 'ChronoModel', 'Oxcal' or 'BCal'
archdata,1.1,Example Datasets from Archaeological Research 
archetypes,2.2-0,Archetypal Analysis 
archiDART,2.0,Plant Root System Architecture Analysis Using DART and RSML Files
archivist,2.1.2,Tools for Storing, Restoring and Searching for R Objects 
archivist.github,0.2.2,Tools for Archiving, Managing and Sharing R Objects via GitHub 
ArCo,0.1-2,Artificial Counterfactual Package 
ArDec,2.0,Time series autoregressive-based decomposition 
arf3DS4,2.5-10,Activated Region Fitting, fMRI data analysis (3D) 
arfima,1.3-4,Fractional ARIMA (and Other Long Memory) Time Series Modeling 
ArfimaMLM,1.3,Arfima-MLM Estimation For Repeated Cross-Sectional Data 
argosfilter,0.63,Argos locations filter 
argparse,1.0.4,Command Line Optional and Positional Argument Parser 
argparser,0.4,Command-Line Argument Parser 
ArgumentCheck,0.10.2,Improved Communication to Users with Respect to Problems in Function Arguments
arm,1.9-3,Data Analysis Using Regression and Multilevel/Hierarchical Models
arnie,0.1.2,"Arnie" box office records 1982-2014 
aroma.affymetrix,3.1.0,Analysis of Large Affymetrix Microarray Data Sets 
aroma.apd,0.6.0,A Probe-Level Data File Format Used by 'aroma.affymetrix' [deprecated]
aroma.cn,1.6.1,Copy-Number Analysis of Large Microarray Data Sets 
aroma.core,3.1.0,Core Methods and Classes Used by 'aroma.*' Packages Part of the Aroma Framework
ARPobservation,1.1,Tools for Simulating Direct Behavioral Observation Recording Procedures Based on Alternating Renewal Processes
aRpsDCA,1.1.0,Arps Decline Curve Analysis in R 
arrApply,2.0.1,Apply a Function to a Margin of an Array 
ArrayBin,0.2,Binarization of numeric data arrays 
arrayhelpers,1.0-20160527,Convenience Functions for Arrays 
ars,0.5,Adaptive Rejection Sampling 
arsenal,0.3.0,An Arsenal of 'R' Functions for Large-Scale Statistical Summaries
ART,1.0,Aligned Rank Transform for Nonparametric Factorial Analysis 
artfima,1.5,ARTFIMA Model Estimation 
ARTIVA,1.2.3,Time-Varying DBN Inference with the ARTIVA (Auto Regressive TIme VArying) Model
ARTool,0.10.4,Aligned Rank Transform 
ARTP,2.0.4,Gene and Pathway p-values computed using the Adaptive Rank Truncated Product
ARTP2,0.9.32,Pathway and Gene-Level Association Test 
arules,1.5-2,Mining Association Rules and Frequent Itemsets 
arulesCBA,1.1.1,Classification Based on Association Rules 
arulesNBMiner,0.1-5,Mining NB-Frequent Itemsets and NB-Precise Rules 
arulesSequences,0.2-19,Mining Frequent Sequences 
arulesViz,1.2-1,Visualizing Association Rules and Frequent Itemsets 
aRxiv,0.5.16,Interface to the arXiv API 
as.color,0.1,Assign Random Colors to Unique Items in a Vector 
asaur,0.50,Data Sets for "Applied Survival Analysis Using R"" 
asbio,1.3-4,A Collection of Statistical Tools for Biologists 
ascii,2.1,Export R objects to several markup languages 
asd,2.2,Simulations for Adaptive Seamless Designs 
asdreader,0.1-2,Reading ASD Binary Files in R 
ash,1.0-15,David Scott's ASH Routines 
ashr,2.0.5,Methods for Adaptive Shrinkage, using Empirical Bayes 
asht,0.9.1,Applied Statistical Hypothesis Tests 
AsioHeaders,1.11.0-1,'Asio' C++ Header Files 
aslib,0.1,Interface to the Algorithm Selection Benchmark Library 
ASMap,0.4-7,Linkage Map Construction using the MSTmap Algorithm 
asnipe,1.1.3,Animal Social Network Inference and Permutations for Ecologists 
aspace,3.2,A collection of functions for estimating centrographic statistics and computational geometries for spatial point
ASPBay,1.2,Bayesian Inference on Causal Genetic Variants using Affected Sib-Pairs Data
aSPC,0.1.2,An Adaptive Sum of Powered Correlation Test (aSPC) for Global Association Between Two Random Vectors
aspect,1.0-4,A General Framework for Multivariate Analysis with Optimal Scaling
aspi,0.2.0,Analysis of Symmetry of Parasitic Infections 
aSPU,1.47,Adaptive Sum of Powered Score Test 
asremlPlus,2.0-12,Augments the Use of 'ASReml-R' in Fitting Mixed Models 
AssayCorrector,1.1.3,Detection and Correction of Spatial Bias in HTS Screens 
assertable,0.2.3,Verbose Assertions for Tabular Data (Data.frames and Data.tables)
assertive,0.3-5,Readable Check Functions to Ensure Code Integrity 
assertive.base,0.0-7,A Lightweight Core of the 'assertive' Package 
assertive.code,0.0-1,Assertions to Check Properties of Code 
assertive.data,0.0-1,Assertions to Check Properties of Data 
assertive.data.uk,0.0-1,Assertions to Check Properties of Strings 
assertive.data.us,0.0-1,Assertions to Check Properties of Strings 
assertive.datetimes,0.0-2,Assertions to Check Properties of Dates and Times 
assertive.files,0.0-2,Assertions to Check Properties of Files 
assertive.matrices,0.0-1,Assertions to Check Properties of Matrices 
assertive.models,0.0-1,Assertions to Check Properties of Models 
assertive.numbers,0.0-2,Assertions to Check Properties of Numbers 
assertive.properties,0.0-4,Assertions to Check Properties of Variables 
assertive.reflection,0.0-4,Assertions for Checking the State of R 
assertive.sets,0.0-3,Assertions to Check Properties of Sets 
assertive.strings,0.0-3,Assertions to Check Properties of Strings 
assertive.types,0.0-3,Assertions to Check Types of Variables 
assertr,2.0.2,Assertive Programming for R Analysis Pipelines 
assertthat,0.2.0,Easy Pre and Post Assertions 
AssetPricing,1.0-0,Optimal pricing of assets with fixed expiry date 
assignPOP,1.1.2,Population Assignment using Genetic, Non-Genetic or Integrated Data in a Machine Learning Framework
assist,3.1.3,A Suite of R Functions Implementing Spline Smoothing Techniques 
ASSISTant,1.2-3,Adaptive Subgroup Selection in Group Sequential Trials 
AssocTests,0.0-3,Genetic Association Studies 
assortnet,0.12,Calculate the Assortativity Coefficient of Weighted and Binary Networks
AssotesteR,0.1-10,Statistical Tests for Genetic Association Studies 
aster,0.9.1,Aster Models 
aster2,0.3,Aster Models 
astro,1.2,Astronomy Functions, Tools and Routines 
astrochron,0.6.6,A Computational Tool for Astrochronology 
astrodatR,0.1,Astronomical Data 
astroFns,4.1-0,Astronomy: time and position functions, misc. utilities 
astrolibR,0.1,Astronomy Users Library 
astsa,1.7,Applied Statistical Time Series Analysis 
asVPC,1.0.2,Average Shifted Visual Predictive Checks 
asymLD,0.1,Asymmetric Linkage Disequilibrium (ALD) for Polymorphic Genetic Data
asymmetry,1.2.1,Visualizing Asymmetric Data 
asympTest,0.1.3,Asymptotic statistic 
AsynchLong,2.0,Regression Analysis of Sparse Asynchronous Longitudinal Data 
asypow,2015.6.25,Calculate Power Utilizing Asymptotic Likelihood Ratio Methods 
ATE,0.2.0,Inference for Average Treatment Effects using Covariate Balancing
AtelieR,0.24,A GTK GUI for teaching basic concepts in statistical inference, and doing elementary bayesian tests
atlantistools,0.4.2,Process and Visualise Output from Atlantis Models 
atmcmc,1.0,Automatically Tuned Markov Chain Monte Carlo 
ATmet,1.2,Advanced Tools for Metrology 
AtmRay,1.31,Acoustic Traveltime Calculations for 1-D Atmospheric Models 
aTSA,3.1.2,Alternative Time Series Analysis 
atsd,1.0.8441,Support Querying Axibase Time-Series Database 
attrCUSUM,0.1.0,Tools for Attribute VSI CUSUM Control Chart 
attribrisk,0.1,Population Attributable Risk 
AUC,0.3.0,Threshold independent performance measures for probabilistic classifiers
aucm,2017.3-2,AUC Maximization 
AUCRF,1.1,Variable Selection with Random Forest and the Area Under the Curve
audio,0.1-5,Audio Interface for R 
audiolyzR,0.4-9,audiolyzR: Give your data a listen 
audit,0.1-1,Bounds for Accounting Populations 
auRoc,0.1-0,Various Methods to Estimate the AUC 
AUtests,0.98,Approximate Unconditional and Permutation Tests 
AutoDeskR,0.1.2,An Interface to the 'AutoDesk' 'API' Platform 
autoencoder,1.1,Sparse Autoencoder for Automatic Learning of Representative Features from Unlabeled Data
autoimage,1.3,Multiple Heat Maps for Projected Coordinates 
automagic,0.3,Automagically Document and Install Packages Necessary to Run R Code
automap,1.0-14,Automatic interpolation package 
AutoModel,0.4.9,Automated Hierarchical Multiple Regression with Assumptions Checking
automultinomial,1.0.0,Autologistic and Automultinomial Spatial Regression and Variable Selection
autopls,1.3,Partial Least Squares Regression with Backward Selection of Predictors
AutoregressionMDE,1.0,Minimum Distance Estimation in Autoregressive Model 
AutoSEARCH,1.5,General-to-Specific (GETS) Modelling 
autoSEM,0.1.0,Performs Specification Search in Structural Equation Models 
autothresholdr,0.5.0,An R Port of the 'ImageJ' Plugin 'Auto Threshold' 
autovarCore,1.0-0,Automated Vector Autoregression Models and Networks 
averisk,1.0.3,Calculation of Average Population Attributable Fractions and Confidence Intervals
aVirtualTwins,1.0.0,Adaptation of Virtual Twins Method from Jared Foster 
AWR,1.11.89,'AWS' Java 'SDK' for R 
AWR.Kinesis,1.7.3,Amazon 'Kinesis' Consumer Application for Stream Processing 
AWR.KMS,0.1,A Simple Client to the 'AWS' Key Management Service 
aws,1.9-6,Adaptive Weights Smoothing 
aws.alexa,0.1.4,Client for the Amazon Alexa Web Information Services API 
aws.ec2metadata,0.1.1,Get EC2 Instance Metadata 
aws.polly,0.1.2,Client for AWS Polly 
aws.s3,0.3.1,AWS S3 Client Package 
aws.ses,0.1.4,AWS SES Client Package 
aws.signature,0.2.9,Amazon Web Services Request Signatures 
aws.sns,0.1.5,AWS SNS Client Package 
aws.sqs,0.1.8,AWS SQS Client Package 
awsjavasdk,0.2.0,Boilerplate R Access to the Amazon Web Services ('AWS') Java SDK 
awsMethods,1.0-4,Class and Methods Definitions for Packages 'aws', 'adimpro', 'fmri', 'dwi'
aylmer,1.0-11,A generalization of Fisher's exact test 
